File Path,Status,Result
D:\声纹测试库-amp-amp\工业源\专业设备制造业\空气压缩机\00490064.WAV,Success,"[('Vehicle', 0.23616444), ('White noise', 0.17191516), ('Air conditioning', 0.069923244), ('Mechanical fan', 0.058142535), ('Microwave oven', 0.051434513)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\空气压缩机\00530068.WAV,Success,"[('Vehicle', 0.29719394), ('White noise', 0.15638627), ('Microwave oven', 0.1113926), ('Air conditioning', 0.1017787), ('Train', 0.07645819)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\空气压缩机\00500065.WAV,Success,"[('Vehicle', 0.26667628), ('White noise', 0.19366696), ('Train', 0.06482347), ('Microwave oven', 0.052422456), ('Aircraft', 0.051467165)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\空气压缩机\00520067.WAV,Success,"[('Vehicle', 0.2289363), ('White noise', 0.1644646), ('Microwave oven', 0.09333672), ('Air conditioning', 0.0907796), ('Mechanical fan', 0.06796262)]"
D:\声纹测试库-amp-amp\工业源\专业设备制造业\空气压缩机\00560086.WAV,Success,"[('Vehicle', 0.55796003), ('Reversing beeps', 0.22405872), ('Truck', 0.15690723), ('Train', 0.14685808), ('Rail transport', 0.10642105)]"
D:\声纹测试库-amp-amp\工业源\交通运输设备制造业\排气防控设备\1720669654906-20240711038_超限录音-01.wav,Success,"[('Vehicle', 0.18018676), ('Hiss', 0.112742856), ('Steam', 0.08607836), ('White noise', 0.066704795), ('Vacuum cleaner', 0.0594728)]"
D:\声纹测试库-amp-amp\工业源\交通运输设备制造业\排气防控设备\1720669641714-20240711038_超限录音-01.wav,Success,"[('Train', 0.44277275), ('Rail transport', 0.3553866), ('Railroad car, train wagon', 0.30186594), ('Vehicle', 0.20469055), ('Subway, metro, underground', 0.1880073)]"
D:\声纹测试库-amp-amp\工业源\交通运输设备制造业\排气防控设备\1720669681826-20240711040_超限录音-01.wav,Success,"[('Vehicle', 0.1935626), ('Train', 0.15310323), ('Rail transport', 0.11600851), ('Hiss', 0.114877865), ('Steam', 0.11483585)]"
D:\声纹测试库-amp-amp\工业源\交通运输设备制造业\排气防控设备\1720669695056-20240711040_超限录音-01.wav,Success,"[('Hiss', 0.42059004), ('Steam', 0.33661777), ('Train', 0.19380817), ('Rail transport', 0.13863866), ('Vehicle', 0.10922954)]"
D:\声纹测试库-amp-amp\工业源\交通运输设备制造业\排气防控设备\1720669701886-20240711041_超限录音-01.wav,Success,"[('Hiss', 0.3179751), ('Steam', 0.26713702), ('Vehicle', 0.1846513), ('Train', 0.17421825), ('Rail transport', 0.13538234)]"
D:\声纹测试库-amp-amp\工业源\交通运输设备制造业\排气防控设备\1720669721946-20240711042_超限录音-01.wav,Success,"[('Hiss', 0.39533982), ('Steam', 0.3146364), ('Train', 0.17549288), ('Rail transport', 0.12502556), ('Vehicle', 0.11515288)]"
D:\声纹测试库-amp-amp\工业源\交通运输设备制造业\排气防控设备\1720669735168-20240711042_超限录音-01.wav,Success,"[('Pink noise', 0.16221583), ('Vehicle', 0.11308985), ('Train', 0.07992228), ('Sliding door', 0.065543905), ('Hiss', 0.060918897)]"
D:\声纹测试库-amp-amp\工业源\交通运输设备制造业\排气防控设备\1720669742023-20240711043_超限录音-01.wav,Success,"[('Pink noise', 0.24466752), ('Vehicle', 0.100278385), ('Hiss', 0.06932523), ('Steam', 0.053216696), ('Rustle', 0.052842077)]"
D:\声纹测试库-amp-amp\工业源\交通运输设备制造业\排气防控设备\1720669755251-20240711043_超限录音-01.wav,Success,"[('Vehicle', 0.18107024), ('White noise', 0.10073562), ('Hiss', 0.090259396), (""Dental drill, dentist's drill"", 0.06748131), ('Steam', 0.06450067)]"
